"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","class","acceptedUsageKey","synonym","verbatim_name","verbatim_index"
2487200,"Anthornis melanura (Sparrman, 1786)","Anthornis melanura","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Passeriformes","Meliphagidae","Anthornis","Anthornis melanura",1,44,212,729,9319,2487199,2487200,"Aves",NA,NA,"Anthornis melanura",1
2491618,"Arremon flavirostris Swainson, 1838","Arremon flavirostris","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Passeriformes","Passerellidae","Arremon","Arremon flavirostris",1,44,212,729,9410667,2491613,2491618,"Aves",NA,NA,"Arremon flavirostris",2
2490826,"Catharus minimus (Lafresnaye, 1848)","Catharus minimus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Passeriformes","Turdidae","Catharus","Catharus minimus",1,44,212,729,5290,2490799,2490826,"Aves",NA,NA,"Catharus minimus",3
2490821,"Catharus ustulatus (Nuttall, 1840)","Catharus ustulatus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Passeriformes","Turdidae","Catharus","Catharus ustulatus",1,44,212,729,5290,2490799,2490821,"Aves",NA,NA,"Catharus ustulatus",4
5228941,"Celeus flavescens (J.F.Gmelin, 1788)","Celeus flavescens","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Piciformes","Picidae","Celeus","Celeus flavescens",1,44,212,724,9333,2478432,5228941,"Aves",NA,NA,"Celeus flavescens",5
2487775,"Chiroxiphia caudata (Shaw, 1793)","Chiroxiphia caudata","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Passeriformes","Pipridae","Chiroxiphia","Chiroxiphia caudata",1,44,212,729,5270,2487764,2487775,"Aves",NA,NA,"Chiroxiphia caudata",6
2488734,"Chlorospingus ophthalmicus (Du Bus de Gisignies, 1847)","Chlorospingus ophthalmicus","SPECIES","SYNONYM",98,"EXACT","Animalia","Chordata","Passeriformes","Passerellidae","Chlorospingus","Chlorospingus flavopectus",1,44,212,729,9410667,2488700,2488710,"Aves",8784251,NA,"Chlorospingus ophthalmicus",7
2489057,"Cinnyricinclus leucogaster (Boddaert, 1783)","Cinnyricinclus leucogaster","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Passeriformes","Sturnidae","Cinnyricinclus","Cinnyricinclus leucogaster",1,44,212,729,9350,2489054,2489057,"Aves",NA,NA,"Cinnyricinclus leucogaster",8
2494329,"Coccothraustes coccothraustes (Linnaeus, 1758)","Coccothraustes coccothraustes","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Passeriformes","Fringillidae","Coccothraustes","Coccothraustes coccothraustes",1,44,212,729,5242,2494310,2494329,"Aves",NA,NA,"Coccothraustes coccothraustes",9
2493744,"Coereba flaveola (Linnaeus, 1758)","Coereba flaveola","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Passeriformes","Thraupidae","Coereba","Coereba flaveola",1,44,212,729,9352,2493743,2493744,"Aves",NA,NA,"Coereba flaveola",10
5229467,"Colius striatus J.F.Gmelin, 1789","Colius striatus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Coliiformes","Coliidae","Colius","Colius striatus",1,44,212,721,9305,5229462,5229467,"Aves",NA,NA,"Colius striatus",11
2495455,"Columba palumbus Linnaeus, 1758","Columba palumbus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Columbiformes","Columbidae","Columba","Columba palumbus",1,44,212,1446,5233,2495404,2495455,"Aves",NA,NA,"Columba palumbus",12
5230621,"Conirostrum speciosum (Temminck, 1824)","Conirostrum speciosum","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Passeriformes","Thraupidae","Conirostrum","Conirostrum speciosum",1,44,212,729,9352,8406176,5230621,"Aves",NA,NA,"Conirostrum speciosum",13
2492675,"Copsychus malabaricus (Scopoli, 1786)","Copsychus malabaricus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Passeriformes","Muscicapidae","Copsychus","Copsychus malabaricus",1,44,212,729,9322,2492674,2492675,"Aves",NA,NA,"Copsychus malabaricus",14
9409796,"Corvus corone Linnaeus, 1758","Corvus corone","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Passeriformes","Corvidae","Corvus","Corvus corone",1,44,212,729,5235,2482468,9409796,"Aves",NA,NA,"Corvus corone",15
2482575,"Cyanocorax chrysops (Vieillot, 1818)","Cyanocorax chrysops","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Passeriformes","Corvidae","Cyanocorax","Cyanocorax chrysops",1,44,212,729,5235,2482558,2482575,"Aves",NA,NA,"Cyanocorax chrysops",16
2482568,"Cyanocorax morio (Wagler, 1829)","Cyanocorax morio","SPECIES","SYNONYM",98,"EXACT","Animalia","Chordata","Passeriformes","Corvidae","Psilorhinus","Psilorhinus morio",1,44,212,729,5235,2482432,5229495,"Aves",5229495,NA,"Cyanocorax morio",17
2487404,"Cyclarhis gujanensis (Gmelin, 1789)","Cyclarhis gujanensis","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Passeriformes","Vireonidae","Cyclarhis","Cyclarhis gujanensis",1,44,212,729,9358,2487403,2487404,"Aves",NA,NA,"Cyclarhis gujanensis",18
